"Tag","Controller","Method","Path","Action","Auth","Permission"
"StudentCards","StudentCardsController","GET","/api/v1/cards/dashboard","Dashboard","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/print","Print","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/resolve-qr","ResolveQr","JWT",""
"StudentCards","StudentCardsController","GET","/api/v1/cards/settings","GetSettings","JWT",""
"StudentCards","StudentCardsController","PUT","/api/v1/cards/settings","SaveSettings","JWT",""
"Students","StudentsController","GET","/api/v1/students","Search","JWT",""
"Students","StudentsController","POST","/api/v1/students","Create","JWT",""
"Students","StudentsController","DELETE","/api/v1/students/{id:guid}","Archive","JWT",""
"Students","StudentsController","GET","/api/v1/students/{id:guid}","GetById","JWT",""
"Students","StudentsController","PUT","/api/v1/students/{id:guid}","Update","JWT",""
"Students","StudentsController","GET","/api/v1/students/{id:guid}/dossier-files","ListDossierFiles","JWT",""
"Students","StudentsController","POST","/api/v1/students/{id:guid}/exclude-current-year","ExcludeFromCurrentYear","JWT",""
"Students","StudentsController","GET","/api/v1/students/{id:guid}/profile","GetProfile","JWT",""
"Students","StudentsController","POST","/api/v1/students/{id:guid}/withdraw-current-year","WithdrawFromCurrentYear","JWT",""
"Students","StudentsController","GET","/api/v1/students/withdrawal-reasons","GetWithdrawalReasons","JWT",""
"Teacher","TeacherController","GET","/api/v1/teacher/assignments","GetAssignments","JWT",""
"Teacher","TeacherController","GET","/api/v1/teacher/classes/{classRoomId:guid}/students","GetClassStudents","JWT",""
"Teacher","TeacherController","GET","/api/v1/teacher/periods","GetPeriods","JWT",""
"Withholdings","WithholdingsController","POST","/api/v1/withholdings/calculate","Calculate","JWT",""
"Withholdings","WithholdingsController","GET","/api/v1/withholdings/configurations","SearchConfigurations","JWT",""
"Withholdings","WithholdingsController","POST","/api/v1/withholdings/configurations","CreateConfiguration","JWT",""
"Withholdings","WithholdingsController","DELETE","/api/v1/withholdings/configurations/{id:guid}","DeleteConfiguration","JWT",""
"Withholdings","WithholdingsController","GET","/api/v1/withholdings/configurations/{id:guid}","GetConfiguration","JWT",""
"Withholdings","WithholdingsController","PUT","/api/v1/withholdings/configurations/{id:guid}","UpdateConfiguration","JWT",""
"Withholdings","WithholdingsController","POST","/api/v1/withholdings/configurations/{id:guid}/deactivate","DeactivateConfiguration","JWT",""
"Withholdings","WithholdingsController","GET","/api/v1/withholdings/configurations/export/excel","ExportExcel","JWT",""
"Withholdings","WithholdingsController","GET","/api/v1/withholdings/configurations/export/pdf","ExportPdf","JWT",""
"Withholdings","WithholdingsController","POST","/api/v1/withholdings/resolve","Resolve","JWT",""
"Withholdings","WithholdingsController","GET","/api/v1/withholdings/types","GetTypes","JWT",""
"Withholdings","WithholdingsController","POST","/api/v1/withholdings/types","CreateType","JWT",""
"Withholdings","WithholdingsController","PUT","/api/v1/withholdings/types/{id:guid}","UpdateType","JWT",""
"Withholdings","WithholdingsController","POST","/api/v1/withholdings/types/{id:guid}/deactivate","DeactivateType","JWT",""
